frame,time_sec,hand,normalized_distance,head_scale_px,head_source,wrist_x,wrist_y,head_cx,head_cy,c0_x,c0_y,c4_x,c4_y,c8_x,c8_y,c12_x,c12_y,c16_x,c16_y,c20_x,c20_y
1148,38.267,Right,2.1690,169.85,ear,91.62,362.25,622.85,297.21,91.62,362.25,254.90,278.91,181.20,300.71,187.10,297.62,189.66,298.51,189.80,300.91
1149,38.300,Right,2.1891,169.82,ear,88.62,359.72,622.59,297.30,88.62,359.72,251.36,277.57,191.64,306.92,191.87,304.98,188.94,301.39,188.30,297.58
1150,38.333,Right,2.1846,169.85,ear,86.94,362.96,622.44,297.47,86.94,362.96,251.73,281.64,187.25,310.66,189.96,314.33,190.97,316.48,190.81,314.59
1151,38.367,Right,2.1954,170.27,ear,80.74,357.01,623.13,297.43,80.74,357.01,249.38,289.82,183.41,301.68,184.49,307.23,189.38,315.16,205.30,314.99
1152,38.400,Right,2.1661,171.35,ear,80.12,357.07,624.61,298.09,80.12,357.07,253.48,294.43,191.68,304.84,191.30,310.97,195.92,315.85,208.72,314.25
1153,38.433,Right,2.2907,172.16,ear,79.69,354.15,625.36,298.91,79.69,354.15,231.00,299.97,205.25,304.31,198.79,316.94,199.93,329.59,198.75,340.88
1154,38.467,Right,2.1806,172.38,ear,80.94,356.46,625.90,299.83,80.94,356.46,250.03,304.00,210.42,303.89,200.30,314.88,200.61,328.75,198.26,342.34
1155,38.500,Right,2.1292,174.20,ear,77.46,353.98,627.05,300.62,77.46,353.98,256.54,317.67,208.75,318.07,200.83,329.32,197.67,340.10,196.46,345.37
1156,38.533,Right,2.0750,173.49,ear,88.72,351.08,627.65,303.02,88.72,351.08,254.05,309.26,267.82,313.79,234.94,332.28,220.94,348.43,230.70,356.92
1157,38.567,Right,1.9013,173.80,ear,91.79,353.31,627.39,303.03,91.79,353.31,264.09,315.48,298.11,330.67,258.67,355.53,234.88,366.89,240.00,372.41
1158,38.600,Right,1.8468,172.68,ear,100.28,360.11,629.58,304.16,100.28,360.11,294.70,343.45,313.96,349.73,243.13,362.00,222.80,374.20,208.30,380.69
1159,38.633,Right,1.7820,172.98,ear,102.77,364.02,630.12,309.93,102.77,364.02,311.04,352.15,327.03,366.12,237.33,363.05,221.77,374.82,210.87,386.68
1160,38.667,Right,1.7987,172.36,ear,103.73,367.85,630.61,311.18,103.73,367.85,322.43,347.64,326.75,372.70,241.36,367.93,219.90,375.78,204.80,384.90
1161,38.700,Right,1.7454,172.27,ear,106.36,368.56,631.70,312.97,106.36,368.56,332.93,346.95,329.42,369.54,246.73,383.03,217.62,383.18,198.21,385.96
1162,38.733,Right,1.6875,172.46,ear,111.14,374.15,633.70,319.21,111.14,374.15,344.99,355.94,308.84,361.07,235.04,369.46,197.64,367.68,174.24,376.15
1163,38.767,Right,1.7067,173.39,ear,121.16,384.76,633.50,321.86,121.16,384.76,339.57,356.15,277.87,350.10,224.67,360.33,192.23,367.31,157.28,366.73
1164,38.800,Right,1.8340,174.01,ear,118.19,382.45,633.58,325.14,118.19,382.45,315.68,353.10,306.38,348.81,225.10,355.48,177.73,362.80,142.66,365.63
1165,38.833,Right,1.8443,175.02,ear,124.11,381.14,633.50,328.49,124.11,381.14,311.84,355.41,277.95,348.38,212.41,352.92,168.78,366.60,136.77,370.28
